crop_type,soil_type,weather_condition,pest_pressure,disease_name,water_stress_level,irrigation_needed,ndvi,soil_moisture_percent,temperature_celsius,humidity_percent,rainfall_mm,ph_level,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_fertility_index,crop_yield,latitude,longitude,nitrogen_recommendation
Kidneybeans,Sandy,Normal,Low,None,Low,No,0.396,42.7,22.1,15.0,108.5,6.43,15.4,69.4,17.5,63.4,6.58,17.5758,77.1036,7.6
Pomegranate,Sandy,Normal,High,Bacterial Blight,Low,No,0.344,42.8,22.9,90.5,110.0,5.79,20.3,21.7,38.3,46.6,2.31,16.3205,80.4668,2.1
Jute,Sandy,Rainy,High,Stem Rot,Low,No,0.627,52.9,25.1,85.9,186.8,7.44,72.9,46.0,41.8,58.3,3.57,27.5111,74.5146,5.1
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.659,63.0,35.4,82.3,236.4,7.22,62.8,59.6,41.1,59.2,3.73,32.9528,93.6785,25.2
Blackgram,Sandy,Normal,Medium,None,Moderate,Yes,0.404,28.4,25.5,62.5,66.8,7.35,27.0,78.9,20.2,58.5,4.96,22.6386,92.0865,12.2
Mothbeans,Sandy,Normal,Low,None,Moderate,Yes,0.364,16.8,26.0,55.5,53.5,8.48,29.7,46.9,17.6,29.3,2.3,23.6644,72.0128,0.0
Pigeonpeas,Silty,Normal,Medium,Fusarium Wilt,Low,No,0.498,43.0,29.9,46.6,136.2,5.12,28.3,56.6,19.1,45.2,3.11,19.3096,93.8576,3.9
Papaya,Clayey,Normal,High,None,High,Yes,0.384,22.5,26.7,91.1,46.1,6.72,59.9,48.7,51.0,65.9,3.12,23.4896,94.3009,2.1
Coffee,Silty,Normal,Medium,None,Low,No,0.526,47.3,24.6,51.0,129.0,6.57,81.1,31.1,26.4,65.1,6.59,29.7217,69.5105,19.8
Blackgram,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.322,12.3,32.5,69.5,60.3,6.7,46.0,74.5,21.5,66.6,3.3,12.8659,85.6102,3.2
Kidneybeans,Clayey,Normal,Low,None,Low,No,0.406,56.2,20.8,24.3,141.7,6.08,31.1,59.1,18.1,54.5,5.39,27.8435,91.3603,3.6
Coconut,Silty,Rainy,High,Root Wilt,Low,No,0.565,54.9,26.9,95.1,210.7,5.84,31.3,13.7,29.3,54.5,2.89,23.1307,86.8633,2.3
Papaya,Silty,Rainy,High,None,Low,No,0.566,65.5,33.1,91.6,236.3,6.62,61.0,46.6,53.3,70.9,6.05,13.2734,74.1515,3.6
Banana,Silty,Normal,High,None,Moderate,Yes,0.539,33.1,27.8,80.2,97.2,5.69,91.2,84.9,53.8,64.6,4.19,8.5001,76.5328,7.9
Blackgram,Loamy,Normal,High,Powdery Mildew,Moderate,Yes,0.398,17.6,30.3,64.3,65.0,7.25,32.2,69.5,19.7,52.0,2.13,23.5401,90.1035,5.5
Mungbean,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.299,17.5,29.3,86.0,55.8,7.47,29.5,41.9,20.9,45.7,2.19,28.2251,71.6621,4.1
Apple,Silty,Normal,High,Apple Scab,Low,No,0.39,29.4,22.4,91.7,106.3,6.47,4.1,120.3,197.8,85.4,4.73,12.4001,91.5231,17.4
Chickpea,Silty,Normal,Low,None,Moderate,Yes,0.442,28.3,24.1,17.9,80.7,6.18,59.8,58.0,82.6,74.0,5.67,35.8432,70.8778,3.3
Jute,Sandy,Rainy,High,Anthracnose,Low,No,0.587,51.0,21.7,71.5,172.5,6.0,68.4,51.5,36.6,59.8,3.11,14.7693,75.6721,12.8
Coconut,Sandy,Rainy,High,Root Wilt,Low,No,0.398,55.1,27.7,96.5,208.5,6.41,26.4,28.3,29.3,57.3,3.46,28.2923,95.3376,1.5
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.391,43.6,23.7,93.0,105.7,5.53,17.5,135.0,203.9,81.5,4.64,30.1302,73.0805,3.6
Muskmelon,Sandy,Normal,High,None,High,Yes,0.523,15.6,28.2,92.5,23.5,6.05,116.6,9.5,50.9,69.2,2.7,35.4106,91.5934,1.9
Muskmelon,Sandy,Normal,High,None,High,Yes,0.533,10.1,28.9,94.3,20.0,6.41,83.5,11.3,46.2,61.9,2.68,30.0397,73.9032,15.0
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.363,35.9,24.8,91.1,102.4,5.86,17.5,22.5,36.2,46.3,2.81,12.4652,95.0469,2.0
Lentil,Silty,Normal,Medium,None,High,Yes,0.344,13.5,23.5,61.4,47.0,5.88,16.6,67.1,19.7,49.8,2.6,31.7959,76.2023,2.8
Coconut,Clayey,Rainy,High,Root Wilt,Low,No,0.444,69.0,27.2,94.8,202.5,5.83,23.2,21.5,33.7,54.0,3.41,19.9125,77.2271,1.3
Grapes,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.332,26.4,39.4,82.5,70.0,5.54,15.4,136.6,203.2,84.4,3.65,28.9509,79.8894,6.2
Pigeonpeas,Silty,Hot & Dry,High,None,Low,No,0.37,38.5,31.7,45.9,126.1,4.74,3.0,74.5,17.7,41.3,3.06,26.3037,94.7069,18.6
Chickpea,Sandy,Normal,Medium,None,Moderate,Yes,0.308,36.4,28.1,14.4,92.1,7.58,37.4,57.5,81.3,54.5,4.48,24.4119,90.9831,1.3
Chickpea,Silty,Normal,Low,None,Moderate,Yes,0.403,34.5,22.5,15.8,84.1,6.2,44.4,64.6,81.8,73.5,5.71,20.8102,78.0214,2.1
Jute,Sandy,Rainy,High,Stem Rot,Low,No,0.613,47.1,23.0,90.0,155.3,7.28,98.5,52.3,39.6,60.6,3.62,15.9599,84.4119,2.8
Maize,Clayey,Normal,High,None,Low,No,0.519,26.1,28.8,70.5,100.1,5.85,96.4,53.6,23.3,59.8,4.99,9.1433,90.8697,0.0
Mango,Clayey,Hot & Dry,Medium,Powdery Mildew,Moderate,Yes,0.474,29.9,32.5,46.8,95.8,4.83,29.3,17.3,28.0,39.6,2.67,36.0541,76.5591,4.1
Kidneybeans,Silty,Cool,Low,None,Moderate,Yes,0.418,38.1,17.3,21.8,95.8,6.17,18.7,56.9,22.5,53.5,4.08,18.689,89.7213,0.8
Grapes,Silty,Cool,High,Anthracnose,Moderate,Yes,0.448,25.5,15.5,80.1,70.6,6.38,32.9,143.5,196.1,90.5,3.61,12.0535,95.4416,0.1
Apple,Silty,Normal,High,Apple Scab,Low,No,0.339,42.1,21.9,91.9,117.4,6.45,4.6,125.9,200.4,92.9,4.57,19.8354,95.5941,10.5
Mango,Loamy,Normal,Medium,None,Low,No,0.357,24.4,28.6,54.8,103.0,5.42,8.7,26.1,27.4,40.1,3.88,26.5453,96.1617,7.4
Banana,Loamy,Normal,High,None,Moderate,Yes,0.627,29.6,25.3,82.7,96.5,5.71,89.7,73.1,50.6,61.8,3.77,11.7698,75.269,7.4
Coffee,Loamy,Normal,Medium,None,Low,No,0.587,40.2,27.9,61.8,133.9,6.02,114.7,18.3,28.6,59.5,5.94,25.2163,81.1082,0.0
Cotton,Silty,Normal,High,Bacterial Blight,Moderate,Yes,0.549,23.4,22.6,79.6,62.4,7.43,101.7,54.6,23.7,61.1,2.5,10.3429,85.6406,13.1
Lentil,Clayey,Normal,Medium,None,High,Yes,0.303,26.6,22.6,66.0,45.1,6.09,25.0,69.6,22.1,54.9,2.63,17.829,81.1515,0.9
Kidneybeans,Sandy,Normal,Low,None,Moderate,Yes,0.221,24.6,24.5,21.9,68.2,5.97,12.5,62.8,17.5,56.5,4.69,24.286,77.5597,4.9
Mango,Silty,Hot & Dry,Low,Powdery Mildew,Moderate,Yes,0.312,27.4,34.2,45.5,91.2,5.22,34.9,38.5,29.2,41.1,2.28,24.1317,71.3317,0.0
Blackgram,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.496,26.1,33.2,66.1,60.4,7.14,52.3,76.1,24.7,57.6,2.53,17.8549,68.1771,4.1
Coconut,Sandy,Rainy,High,Root Wilt,Low,No,0.432,42.4,29.9,90.9,165.7,6.03,26.3,6.7,32.4,49.6,3.18,12.5118,89.8786,0.0
Chickpea,Silty,Normal,Low,None,Moderate,Yes,0.343,23.1,21.6,12.7,68.4,7.76,30.9,71.5,79.9,56.5,4.26,19.4626,85.3804,5.3
Pomegranate,Sandy,Normal,Low,Bacterial Blight,Low,No,0.34,39.0,20.0,86.2,106.5,6.25,37.8,24.2,42.6,56.8,4.27,20.6504,81.3329,0.0
Banana,Sandy,Normal,High,None,Moderate,Yes,0.654,35.4,27.1,76.2,99.7,5.52,103.0,84.3,52.1,69.3,4.22,20.6346,79.613,0.0
Pomegranate,Clayey,Cool,Low,Bacterial Blight,Low,No,0.443,35.2,18.5,91.3,102.9,6.3,29.8,10.5,42.8,62.1,4.25,13.0315,72.4332,3.3
Chickpea,Sandy,Normal,Low,None,Moderate,Yes,0.383,34.3,26.3,17.6,92.7,6.85,27.1,74.3,79.9,69.0,5.59,26.3102,91.0936,12.5
Mango,Silty,Normal,High,None,Low,No,0.431,36.8,25.6,53.3,102.3,4.69,20.3,22.8,29.5,33.3,3.0,33.9804,81.0423,3.7
Jute,Loamy,Rainy,High,None,Low,No,0.681,48.1,29.6,79.0,191.9,7.22,67.5,50.1,40.0,60.9,5.37,23.198,85.6844,10.5
Pomegranate,Clayey,Cool,Medium,Bacterial Blight,Low,No,0.361,36.5,18.4,91.3,104.9,6.0,15.5,24.4,41.8,50.6,3.77,34.5856,76.9967,6.2
Coffee,Loamy,Rainy,High,None,Low,No,0.691,63.9,23.1,57.5,183.2,7.19,95.7,29.9,34.4,62.6,5.11,8.5287,76.9571,8.1
Banana,Loamy,Normal,High,None,Moderate,Yes,0.684,38.7,25.7,75.8,93.0,6.34,117.9,82.2,47.3,82.5,5.43,11.8004,78.9249,0.0
Cotton,Clayey,Normal,Medium,Bacterial Blight,Moderate,Yes,0.613,34.7,22.1,81.8,77.8,5.98,132.4,39.1,19.4,65.8,4.02,34.2153,73.6265,2.7
Coconut,Silty,Rainy,High,Root Wilt,Low,No,0.58,54.7,26.9,95.3,207.6,6.47,39.4,16.5,27.8,57.5,3.0,32.5309,92.6838,0.0
Mothbeans,Sandy,Normal,Low,None,Moderate,Yes,0.251,10.2,27.5,67.9,50.3,4.94,10.9,57.6,16.5,33.9,2.48,14.5116,77.2419,6.0
Jute,Loamy,Rainy,High,None,Low,No,0.592,57.8,29.2,79.4,187.9,7.25,73.4,38.7,35.4,61.8,4.77,35.2666,85.6575,6.2
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.34,39.5,22.5,91.2,112.6,5.59,9.5,8.0,37.4,45.2,2.58,25.8295,74.9764,9.3
Coffee,Silty,Rainy,Medium,None,Low,No,0.565,54.2,29.5,60.9,155.7,7.18,106.7,28.1,28.6,56.2,5.33,30.8671,77.9993,3.1
Jute,Silty,Rainy,High,Anthracnose,Low,No,0.631,61.6,21.3,77.0,182.1,6.51,64.1,49.5,42.6,74.2,3.96,28.7653,95.3645,10.9
Mungbean,Sandy,Normal,High,None,High,Yes,0.204,23.1,29.8,85.2,48.6,7.48,1.8,40.0,15.4,40.0,1.57,11.6098,78.6726,18.8
Muskmelon,Clayey,Normal,High,None,High,Yes,0.616,17.5,27.5,92.5,25.2,6.46,115.8,14.7,54.7,68.4,2.52,17.5097,76.5736,1.1
Watermelon,Silty,Normal,High,None,High,Yes,0.524,25.2,27.3,89.1,48.7,6.61,86.7,16.1,49.5,63.0,2.82,12.6396,68.9031,14.6
Coffee,Sandy,Rainy,Medium,None,Low,No,0.7,52.6,27.8,57.3,161.1,6.57,111.3,15.9,25.7,72.5,7.41,23.3543,79.543,2.5
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.479,18.3,30.2,69.1,71.6,6.62,58.4,55.6,16.9,65.8,3.33,21.1092,94.0617,1.1
Chickpea,Clayey,Normal,Low,None,Moderate,Yes,0.383,20.3,25.0,17.1,73.7,7.15,52.4,79.2,84.9,69.9,5.39,13.8284,72.0274,3.5
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.573,47.1,39.7,80.6,159.9,7.21,81.7,49.3,39.7,61.0,3.17,36.199,86.6278,7.8
Coffee,Clayey,Normal,Medium,None,Low,No,0.61,47.0,25.5,61.8,121.6,7.15,100.7,18.2,33.3,63.0,6.26,28.5706,78.0347,4.6
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.405,31.2,21.9,86.3,108.0,5.95,33.8,11.3,41.4,57.4,3.49,25.549,92.4334,1.9
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.534,79.9,25.3,81.1,242.7,6.43,64.9,58.7,42.7,70.2,4.28,19.7767,81.1528,22.9
Mothbeans,Sandy,Normal,High,None,Moderate,Yes,0.385,31.9,28.9,42.5,63.0,8.17,17.6,47.1,17.0,32.7,2.05,21.5277,75.7567,1.7
Kidneybeans,Clayey,Cool,Low,None,Low,No,0.426,50.4,19.2,24.6,133.2,6.4,2.0,78.6,23.6,58.5,5.93,33.4932,82.4237,13.0
Grapes,Loamy,Cool,Medium,Anthracnose,Moderate,Yes,0.362,29.5,19.3,80.3,73.8,5.99,20.2,144.2,197.2,88.3,4.39,18.6076,79.6944,0.0
Maize,Loamy,Cool,Medium,None,Moderate,Yes,0.608,33.9,18.9,65.1,74.0,6.65,82.8,39.9,20.5,62.0,5.45,24.1771,78.6026,0.0
Cotton,Sandy,Normal,Low,Bacterial Blight,Moderate,Yes,0.643,30.8,20.7,78.3,78.3,6.45,120.4,47.5,15.5,70.4,4.14,32.4355,85.218,1.6
Orange,Loamy,Normal,High,Citrus Canker,Low,No,0.397,42.6,30.4,91.8,119.6,7.01,21.3,22.7,8.0,51.5,3.36,30.7042,90.5087,2.0
Maize,Loamy,Normal,Medium,None,Moderate,Yes,0.438,41.3,25.4,71.8,94.0,5.72,83.3,39.3,21.3,53.0,4.06,28.0245,79.9009,3.4
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.421,37.0,20.7,91.0,116.6,5.83,34.9,138.4,195.6,83.2,4.8,28.9068,86.656,2.9
Cotton,Silty,Normal,Medium,Bacterial Blight,Moderate,Yes,0.673,37.3,21.5,84.4,90.8,7.46,119.4,58.9,17.8,60.6,3.84,28.9283,76.3459,2.5
Papaya,Sandy,Normal,High,Papaya Ring Spot Virus,Low,No,0.472,24.1,39.2,94.0,100.4,6.65,45.2,59.5,53.2,67.1,3.62,23.6188,95.0577,6.7
Pigeonpeas,Clayey,Cool,Low,None,Low,No,0.248,37.9,19.1,66.2,115.6,5.18,4.4,73.5,17.4,42.7,4.76,12.5803,86.9339,16.7
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.372,37.2,21.6,93.2,102.2,6.41,19.1,125.0,204.6,94.5,4.85,35.0838,69.0539,4.6
Apple,Silty,Normal,High,Apple Scab,Low,No,0.422,36.7,21.4,90.2,115.1,5.8,7.5,138.7,203.7,83.3,4.55,13.5915,71.2668,9.2
Muskmelon,Silty,Normal,High,None,High,Yes,0.547,15.3,26.7,91.5,21.9,6.34,105.9,23.0,45.1,68.5,2.76,10.7662,96.4689,1.3
Blackgram,Loamy,Normal,Medium,None,Moderate,Yes,0.279,21.6,27.7,63.3,68.6,7.08,20.3,64.6,19.5,52.1,4.19,22.5731,93.9584,18.7
Pomegranate,Silty,Normal,High,Bacterial Blight,Low,No,0.377,48.1,20.6,87.2,107.2,6.94,27.6,21.0,44.4,54.1,3.39,30.0939,87.7299,2.2
Chickpea,Silty,Normal,Low,None,Moderate,Yes,0.35,30.9,28.8,11.1,92.1,7.99,41.0,68.2,78.6,48.9,4.18,22.176,94.0678,1.1
Maize,Loamy,Cool,Low,None,Moderate,Yes,0.499,42.6,18.7,64.2,96.2,6.71,78.1,47.8,19.6,67.6,5.67,23.6937,69.7474,5.7
Apple,Silty,Normal,High,Apple Scab,Low,No,0.413,35.2,23.8,94.9,110.5,6.15,1.3,130.2,202.7,90.4,4.95,33.3621,71.8567,19.0
Kidneybeans,Silty,Normal,Low,None,Moderate,Yes,0.242,28.9,22.3,17.2,62.0,5.5,7.1,68.4,20.3,48.2,3.83,15.9938,95.1849,13.4
Kidneybeans,Loamy,Normal,Low,None,Moderate,Yes,0.289,24.4,24.4,23.9,66.1,5.74,1.3,71.5,21.1,52.6,4.23,14.7958,74.3008,19.0
Maize,Clayey,Normal,Medium,None,Moderate,Yes,0.55,26.5,29.0,66.5,98.6,6.37,65.6,59.8,17.3,69.7,5.32,35.5071,93.5117,15.9
Jute,Clayey,Rainy,High,Stem Rot,Low,No,0.664,53.4,23.4,82.9,176.2,6.57,87.2,48.9,35.5,68.4,4.21,16.7214,88.5197,3.6
Maize,Clayey,Cool,Low,None,Moderate,Yes,0.612,41.8,19.6,59.9,92.3,5.81,82.5,59.2,20.6,56.3,4.74,25.4847,93.335,0.0
Coconut,Silty,Normal,High,Root Wilt,Low,No,0.502,49.6,29.3,93.3,131.5,6.46,29.0,19.0,29.8,55.3,3.36,19.5023,74.9406,0.3
Pomegranate,Clayey,Cool,Medium,Bacterial Blight,Low,No,0.441,36.5,19.8,90.1,101.5,6.25,15.2,18.3,38.6,58.8,3.85,33.0585,89.4963,1.9
Papaya,Sandy,Rainy,High,Papaya Ring Spot Virus,Low,No,0.607,67.6,25.6,91.6,215.0,6.69,67.4,49.5,49.2,69.9,4.13,22.2273,72.8788,3.6
Mothbeans,Loamy,Normal,High,None,Moderate,Yes,0.337,10.2,31.1,69.6,53.6,9.72,5.6,48.7,16.8,16.0,1.65,14.7116,88.5079,9.6
Orange,Sandy,Normal,High,Citrus Canker,Low,No,0.359,28.3,33.3,94.6,100.3,6.99,18.2,6.5,11.4,42.7,2.1,31.5816,87.547,5.1
Mothbeans,Clayey,Normal,High,None,High,Yes,0.234,15.9,25.5,51.1,42.0,8.8,4.3,37.4,16.5,23.5,1.19,32.5881,86.9583,16.6
Maize,Loamy,Cool,High,None,Moderate,Yes,0.454,39.0,18.7,55.2,85.0,5.76,63.7,44.5,20.5,56.1,3.48,34.1369,88.0763,15.0
Lentil,Silty,Normal,Low,None,Moderate,Yes,0.222,29.1,28.8,65.6,53.6,5.57,1.9,56.9,24.3,47.9,3.98,24.4342,92.6338,17.2
Papaya,Sandy,Rainy,High,Papaya Ring Spot Virus,Low,No,0.479,64.1,39.8,93.6,244.6,6.75,43.3,53.9,46.4,67.8,4.26,19.5044,90.4331,3.6
Lentil,Clayey,Normal,High,None,High,Yes,0.312,25.6,24.6,63.8,46.7,5.87,31.3,66.3,17.3,53.3,2.05,19.02,90.7328,0.0
Grapes,Silty,Cool,Low,None,Moderate,Yes,0.24,27.7,17.9,81.8,66.3,5.77,12.7,122.7,195.1,81.4,6.38,10.6989,85.3433,6.1
Grapes,Sandy,Normal,High,Powdery Mildew,Moderate,Yes,0.273,26.1,31.2,82.8,67.4,6.49,0.5,130.3,202.8,88.3,3.4,12.849,76.0029,15.7
Chickpea,Silty,Normal,Low,None,Moderate,Yes,0.269,25.1,22.4,16.2,69.1,6.87,34.4,78.6,82.2,72.5,5.84,31.8825,86.8801,6.6
Pomegranate,Clayey,Normal,High,Bacterial Blight,Low,No,0.38,37.6,20.2,94.6,104.4,6.95,12.8,28.7,37.0,54.1,3.38,19.3951,71.3027,7.7
Coconut,Silty,Normal,High,Root Wilt,Low,No,0.523,54.0,25.1,97.3,149.9,6.44,39.9,9.5,32.7,55.1,3.29,15.0186,87.1012,3.0
Grapes,Loamy,Normal,Low,Anthracnose,Moderate,Yes,0.289,34.6,20.8,82.5,71.9,6.42,3.0,144.8,199.8,90.9,4.71,18.2953,86.763,11.9
Jute,Clayey,Rainy,High,None,Low,No,0.614,49.0,29.7,78.6,162.9,6.02,87.1,45.0,42.5,65.7,5.33,27.7071,88.0227,0.0
Rice,Sandy,Rainy,Medium,Rice Blast,Low,No,0.625,68.8,21.7,84.2,202.2,6.83,89.0,42.4,44.2,67.5,5.0,21.121,69.9481,0.0
Kidneybeans,Silty,Normal,Low,None,Low,No,0.319,33.5,23.0,24.3,106.4,6.24,0.9,63.6,16.1,55.6,5.77,13.4052,87.0619,16.0
Cotton,Clayey,Normal,Medium,Bacterial Blight,Moderate,Yes,0.734,35.0,20.0,77.1,88.2,6.06,135.3,46.2,19.3,71.8,4.09,15.6082,93.0165,1.7
Jute,Loamy,Rainy,High,Anthracnose,Low,No,0.601,57.7,21.1,77.0,158.6,6.69,72.5,44.7,38.9,71.0,3.77,16.856,73.3083,8.8
Orange,Sandy,Normal,High,Citrus Canker,Low,No,0.449,34.7,20.6,92.4,118.4,6.81,15.5,19.9,10.7,48.1,3.07,25.9629,93.1001,8.2
Apple,Loamy,Normal,High,Apple Scab,Low,No,0.394,37.9,22.5,92.5,110.4,6.18,5.5,140.4,204.6,85.1,4.4,23.5906,72.8781,12.8
Apple,Silty,Normal,High,Apple Scab,Low,No,0.292,44.6,23.9,94.1,120.6,5.87,22.0,122.8,196.1,84.0,4.7,15.1784,93.3695,0.0
Lentil,Silty,Normal,High,None,Moderate,Yes,0.309,15.7,29.9,67.8,51.2,5.97,13.9,75.4,19.4,58.2,4.05,31.5924,91.3578,6.8
Papaya,Silty,Rainy,High,Papaya Ring Spot Virus,Low,No,0.635,64.8,35.0,91.4,220.2,6.63,41.2,48.5,48.2,61.3,3.83,11.6798,93.1163,6.8
Banana,Loamy,Normal,High,Panama Wilt,Low,No,0.616,36.3,27.4,80.8,102.4,5.77,113.1,89.0,51.8,75.1,4.13,35.1537,78.7031,4.7
Banana,Silty,Normal,High,Panama Wilt,Low,No,0.676,42.8,25.5,84.7,110.9,6.13,103.3,91.7,53.5,74.8,4.15,16.2242,83.872,0.0
Apple,Silty,Normal,High,Apple Scab,Low,No,0.476,29.8,20.2,93.1,100.4,6.34,31.5,142.4,202.6,94.3,4.91,33.5823,76.7541,4.1
Lentil,Loamy,Normal,High,None,High,Yes,0.303,24.8,26.0,66.5,47.5,5.6,3.7,64.0,15.8,46.9,1.75,10.2602,85.2167,14.6
Muskmelon,Sandy,Normal,High,None,High,Yes,0.427,15.2,29.9,92.1,20.7,6.07,80.4,22.4,53.2,59.3,2.18,30.4304,89.8416,14.6
Coffee,Clayey,Rainy,Low,None,Low,No,0.542,49.4,26.5,58.8,166.5,7.08,85.7,28.3,25.1,60.9,5.9,11.5716,89.1703,11.9
Watermelon,Sandy,Normal,Low,Anthracnose,Moderate,Yes,0.572,27.3,20.8,85.5,52.2,6.6,92.6,8.5,47.8,70.7,4.06,29.6875,76.5707,4.3
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.475,17.1,30.9,65.3,74.8,7.48,39.8,57.8,20.0,54.3,2.27,21.6594,96.6336,0.0
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.398,56.2,25.3,97.9,189.7,6.01,2.7,11.6,25.4,49.9,2.99,16.0466,76.9873,15.4
Mungbean,Clayey,Normal,High,None,Moderate,Yes,0.324,18.0,28.8,87.6,51.1,6.97,39.0,38.9,18.3,59.8,4.26,11.3636,85.7566,0.0
Coffee,Clayey,Rainy,Medium,None,Low,No,0.714,64.3,27.1,64.0,195.8,6.25,109.7,33.5,26.2,69.7,7.3,15.7942,93.706,3.4
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.655,58.3,25.3,84.9,224.4,6.57,80.1,45.7,40.2,73.4,4.43,33.9338,87.5495,6.7
Orange,Silty,Cool,Low,Citrus Canker,Low,No,0.396,32.8,11.1,91.8,103.6,7.38,0.1,26.5,5.1,44.4,3.14,28.8883,75.8665,14.5
Mango,Sandy,Normal,Medium,None,Moderate,Yes,0.382,38.5,27.2,50.2,93.0,4.61,4.8,31.8,25.5,33.6,2.75,18.6987,76.4563,15.7
